ID,RA,DEJ2000,Mass,z,SFR,NH,NH_err,OH,OH_err,,
137,150.27377,2.148574,6.21E+09,0.919254,11.055478,0.175684,0.01933,8.471197,0.027137,,
141,150.2414,2.137849,3.00E+10,0.982166,8.293733,0.456665,0.01824,8.706368,0.009723,,
143,150.22616,2.156818,1.60E+10,0.91397,2.527171,0.078125,0.041206,8.273015,0.162436,,
145,150.22445,2.198691,1.14E+10,0.91395,9.12984,0.194622,0.017789,8.49433,0.022903,,
146,150.21607,2.154343,1.01E+10,0.916858,4.727051,0.482727,0.020461,8.719034,0.010549,,
149,150.21138,2.144704,1.50E+10,0.929461,8.094914,0.180731,0.017198,8.478397,0.023894,,
150,150.20052,2.21833,2.23E+10,0.879092,21.230667,0.521174,0.013058,8.738643,0.006062,,
151,150.19609,2.144094,5.16E+09,0.916525,4.866759,0.171218,0.019521,8.463261,0.029207,,
152,150.18657,2.208634,2.15E+10,0.891499,24.917652,0.451065,0.010006,8.702613,0.005508,,
154,150.16783,2.247134,1.52E+10,0.867737,15.276547,0.432387,0.016108,8.691777,0.009275,,
157,150.1494,2.196627,7.00E+09,0.924618,9.07836,0.385521,0.017486,8.664309,0.011326,,
161,150.10604,2.213157,1.82E+10,0.924894,9.066468,0.600596,0.029502,8.773527,0.011656,,
165,149.89334,2.220069,6.56E+09,0.88504,4.675624,0.406012,0.044354,8.677361,0.027145,,
